path,disease_class,filename,hash
/Users/amirah/Ghiras's datast/THE DATA/Apple_healthy/dc18b924-f172-445d-8fed-61445d437aaa___RS_HL 6270.JPG,Apple_healthy,dc18b924-f172-445d-8fed-61445d437aaa___RS_HL 6270.JPG,48f5d94e58351849b9f219c674323d58
/Users/amirah/Ghiras's datast/THE DATA/Apple_healthy/acb21cc2-8d65-4880-a7bb-dcc1eab1564b___RS_HL 6272.JPG,Apple_healthy,acb21cc2-8d65-4880-a7bb-dcc1eab1564b___RS_HL 6272.JPG,8bbefab9461168ef9946618480d2f0ad
/Users/amirah/Ghiras's datast/THE DATA/Apple_healthy/c21cf428-bfc3-4710-b5d2-69d1c0e94748___RS_HL 6268.JPG,Apple_healthy,c21cf428-bfc3-4710-b5d2-69d1c0e94748___RS_HL 6268.JPG,161940bd6e73cf648974cc7213cffb8f
/Users/amirah/Ghiras's datast/THE DATA/Apple_healthy/dc18b924-f172-445d-8fed-61445d437aaa___RS_HL 6270_flipTB.JPG,Apple_healthy,dc18b924-f172-445d-8fed-61445d437aaa___RS_HL 6270_flipTB.JPG,67a0fed9ae5a338656a557335fec59d9
/Users/amirah/Ghiras's datast/THE DATA/Apple_healthy/13298d36-4425-437d-ae8e-c7d70e200084___RS_HL 6271.JPG,Apple_healthy,13298d36-4425-437d-ae8e-c7d70e200084___RS_HL 6271.JPG,926f8ebcfc60d44649018c5154c8fcec
/Users/amirah/Ghiras's datast/THE DATA/Apple_healthy/5192db55-4aa7-421c-92d4-c2dac79e7379___RS_HL 6273.JPG,Apple_healthy,5192db55-4aa7-421c-92d4-c2dac79e7379___RS_HL 6273.JPG,61cabcbf7a2412e44ce0bcee3c384a25
/Users/amirah/Ghiras's datast/THE DATA/Apple_healthy/fdbfa6f7-f887-442d-8df1-1f0cf839fc4d___RS_HL 6274.JPG,Apple_healthy,fdbfa6f7-f887-442d-8df1-1f0cf839fc4d___RS_HL 6274.JPG,fb72d1f9dbd2af9a9ee3fc3421ecf6a4
/Users/amirah/Ghiras's datast/THE DATA/Apple_healthy/fdbfa6f7-f887-442d-8df1-1f0cf839fc4d___RS_HL 6274_flipTB.JPG,Apple_healthy,fdbfa6f7-f887-442d-8df1-1f0cf839fc4d___RS_HL 6274_flipTB.JPG,cdde9ba68b641da456e54531bf99229a
/Users/amirah/Ghiras's datast/THE DATA/Apple_healthy/3673d121-b5de-481c-b057-d4ee5b4959b1___RS_HL 6269.JPG,Apple_healthy,3673d121-b5de-481c-b057-d4ee5b4959b1___RS_HL 6269.JPG,68f05a541bf01c0fcfbc7f9445f8a147
/Users/amirah/Ghiras's datast/THE DATA/Apple_healthy/c21cf428-bfc3-4710-b5d2-69d1c0e94748___RS_HL 6268_flipTB.JPG,Apple_healthy,c21cf428-bfc3-4710-b5d2-69d1c0e94748___RS_HL 6268_flipTB.JPG,35302bc2333c76c20452dfd38586f817
/Users/amirah/Ghiras's datast/THE DATA/Cucumber ـBacterialـWilt/Bacterial Wilt (82).jpg,Cucumber ـBacterialـWilt,Bacterial Wilt (82).jpg,a1b6d034ef2bd7770b5969d17e1b9790
/Users/amirah/Ghiras's datast/THE DATA/Cucumber_Pythium_Fruit_Rot/Pythium Fruit Rot  (147).jpg,Cucumber_Pythium_Fruit_Rot,Pythium Fruit Rot  (147).jpg,c6c7d25fd41be05dd9e4b5755d37c81a
/Users/amirah/Ghiras's datast/THE DATA/Cucumber_Pythium_Fruit_Rot/Pythium Fruit Rot  (146)(1).jpg,Cucumber_Pythium_Fruit_Rot,Pythium Fruit Rot  (146)(1).jpg,9d4f67043c0dff7733dd28550950126c
/Users/amirah/Ghiras's datast/THE DATA/Cucumber_Pythium_Fruit_Rot/Pythium Fruit Rot  (150)(1).jpg,Cucumber_Pythium_Fruit_Rot,Pythium Fruit Rot  (150)(1).jpg,d242cdbfbc571b934f48c3920ae93b82
/Users/amirah/Ghiras's datast/THE DATA/Cucumber_Pythium_Fruit_Rot/Pythium Fruit Rot  (151)(1).jpg,Cucumber_Pythium_Fruit_Rot,Pythium Fruit Rot  (151)(1).jpg,a7807f0a0849a14a29d2b4135a19b841
/Users/amirah/Ghiras's datast/THE DATA/Cucumber_Pythium_Fruit_Rot/Pythium Fruit Rot  (144).jpg,Cucumber_Pythium_Fruit_Rot,Pythium Fruit Rot  (144).jpg,e016a54d239afb6dcd07e782d7100229
/Users/amirah/Ghiras's datast/THE DATA/Cucumber_Pythium_Fruit_Rot/Pythium Fruit Rot  (148).jpg,Cucumber_Pythium_Fruit_Rot,Pythium Fruit Rot  (148).jpg,f601edb5b8e2b36786dc667817a2069d
/Users/amirah/Ghiras's datast/THE DATA/Cucumber_Pythium_Fruit_Rot/Pythium Fruit Rot  (149).jpg,Cucumber_Pythium_Fruit_Rot,Pythium Fruit Rot  (149).jpg,5af40fdad8e492ecbad35a510334ff8a
/Users/amirah/Ghiras's datast/THE DATA/Cucumber_Pythium_Fruit_Rot/Pythium Fruit Rot  (152)(1).jpg,Cucumber_Pythium_Fruit_Rot,Pythium Fruit Rot  (152)(1).jpg,2e1185bc3ea00fbaecaab3be402ddb02
/Users/amirah/Ghiras's datast/THE DATA/Cucumber_Pythium_Fruit_Rot/Pythium Fruit Rot  (145).jpg,Cucumber_Pythium_Fruit_Rot,Pythium Fruit Rot  (145).jpg,55d2b7ad255b773aa8e258f75a085369
/Users/amirah/Ghiras's datast/THE DATA/Lettuce_Bacterial/bct (6).jpg,Lettuce_Bacterial,bct (6).jpg,b02b3e470100b2100c9c36f551356944
/Users/amirah/Ghiras's datast/THE DATA/Lettuce_Bacterial/bct (17).jpg,Lettuce_Bacterial,bct (17).jpg,117964014ec809e58c9c4abba72a7bdf
/Users/amirah/Ghiras's datast/THE DATA/Lettuce_Bacterial/bct (20).jpg,Lettuce_Bacterial,bct (20).jpg,0e2a7c4b37ff1ad678e914532be091ed
/Users/amirah/Ghiras's datast/THE DATA/LettuceـShepherd_purse_weeds/spw (568).jpg,LettuceـShepherd_purse_weeds,spw (568).jpg,882d04a5b766c611ce73fff505346981
/Users/amirah/Ghiras's datast/THE DATA/LettuceـShepherd_purse_weeds/spw (559).jpg,LettuceـShepherd_purse_weeds,spw (559).jpg,1fc2032b91a42a270ced4f360bafbfde
/Users/amirah/Ghiras's datast/THE DATA/LettuceـShepherd_purse_weeds/spw (626).jpg,LettuceـShepherd_purse_weeds,spw (626).jpg,ce033db50365348fe6fa673d512d31fe
/Users/amirah/Ghiras's datast/THE DATA/LettuceـShepherd_purse_weeds/spw (581).jpg,LettuceـShepherd_purse_weeds,spw (581).jpg,dfc487041ab86aaf261b525a21286da2
/Users/amirah/Ghiras's datast/THE DATA/Septoria_blight_on_lettuce/sbl (9).jpg,Septoria_blight_on_lettuce,sbl (9).jpg,76245c73bf20da276545150c01217e4b
/Users/amirah/Ghiras's datast/THE DATA/Tomato_Late_blight/5688ea99-c949-41d0-bbab-9cbf0ffb8bcd___GHLB2 Leaf 8677.JPG,Tomato_Late_blight,5688ea99-c949-41d0-bbab-9cbf0ffb8bcd___GHLB2 Leaf 8677.JPG,ca06650efa30a3f6731df694f07b4690
/Users/amirah/Ghiras's datast/THE DATA/Tomato_Late_blight/861d8b00-57a4-46b0-b51a-09d102dbe119___GHLB_PS Leaf 24 Day 13.jpg,Tomato_Late_blight,861d8b00-57a4-46b0-b51a-09d102dbe119___GHLB_PS Leaf 24 Day 13.jpg,c1b24c8caaa06e756560a83d7358579e
/Users/amirah/Ghiras's datast/THE DATA/Tomato_Late_blight/3fae9c64-18f0-4a67-9f97-554248bb1bed___GHLB_PS Leaf 24 Day 16.jpg,Tomato_Late_blight,3fae9c64-18f0-4a67-9f97-554248bb1bed___GHLB_PS Leaf 24 Day 16.jpg,bf12be065849d781b7da2e79091b1072
/Users/amirah/Ghiras's datast/THE DATA/Tomato_Late_blight/e5d707cd-077c-43af-bda9-6138e516ff51___GHLB2 Leaf 8999.JPG,Tomato_Late_blight,e5d707cd-077c-43af-bda9-6138e516ff51___GHLB2 Leaf 8999.JPG,0e0dcd876f5b32cac9da836b2e783d91
/Users/amirah/Ghiras's datast/THE DATA/Tomato_Late_blight/2c47b891-3c97-48f1-a2cc-5aa53d3a1148___GHLB2 Leaf 9011.JPG,Tomato_Late_blight,2c47b891-3c97-48f1-a2cc-5aa53d3a1148___GHLB2 Leaf 9011.JPG,1d87a50fa691cef6f476b20bb48cfaf8
/Users/amirah/Ghiras's datast/THE DATA/Tomato_Late_blight/d6e6897a-5083-4914-9903-804c5684a956___GHLB2 Leaf 102.JPG,Tomato_Late_blight,d6e6897a-5083-4914-9903-804c5684a956___GHLB2 Leaf 102.JPG,5bdbdc7333be3ab35ef81ec17ce14816
/Users/amirah/Ghiras's datast/THE DATA/Tomato_Late_blight/98586693-fe1f-4ea0-8e27-4501b61cf09b___GHLB_PS Leaf 23.5 Day 13.jpg,Tomato_Late_blight,98586693-fe1f-4ea0-8e27-4501b61cf09b___GHLB_PS Leaf 23.5 Day 13.jpg,4bab4aa40d89e19ed72d8b8d501b1db8
/Users/amirah/Ghiras's datast/THE DATA/Tomato_Late_blight/bd4f09bd-ee85-4ab1-bce0-8cde3fdd7f1b___GHLB_PS Leaf 23.7 Day 13.jpg,Tomato_Late_blight,bd4f09bd-ee85-4ab1-bce0-8cde3fdd7f1b___GHLB_PS Leaf 23.7 Day 13.jpg,3b227920ba50ce0a4602b258f624e935
/Users/amirah/Ghiras's datast/THE DATA/Tomato_healthy/37203047-d8ba-43f7-b31e-d496c41c569c___GH_HL Leaf 389.JPG,Tomato_healthy,37203047-d8ba-43f7-b31e-d496c41c569c___GH_HL Leaf 389.JPG,2e53ad1ec3f810e2ff4c83400dc69ec9
/Users/amirah/Ghiras's datast/THE DATA/Tomato_healthy/9662364c-aaba-45e3-b907-10792d60578c___GH_HL Leaf 220.JPG,Tomato_healthy,9662364c-aaba-45e3-b907-10792d60578c___GH_HL Leaf 220.JPG,4b73700b68ce8704f6b4549a2846dede
/Users/amirah/Ghiras's datast/THE DATA/Tomato_healthy/1af0bfe1-4bcf-4b8b-be66-5d0953eb647e___GH_HL Leaf 482.2.JPG,Tomato_healthy,1af0bfe1-4bcf-4b8b-be66-5d0953eb647e___GH_HL Leaf 482.2.JPG,ea0a44df2e4e44c6ccacc31f067a6284
/Users/amirah/Ghiras's datast/THE DATA/Tomato_healthy/a5de43e7-fc2f-4a14-a8e6-c0f2f94c84f1___GH_HL Leaf 434.JPG,Tomato_healthy,a5de43e7-fc2f-4a14-a8e6-c0f2f94c84f1___GH_HL Leaf 434.JPG,6e48e89e89da343b6b90ccda5b18d698
/Users/amirah/Ghiras's datast/THE DATA/Tomato_healthy/34c81c57-e1fa-49dd-a49d-34fe8b2385fe___GH_HL Leaf 466.1.JPG,Tomato_healthy,34c81c57-e1fa-49dd-a49d-34fe8b2385fe___GH_HL Leaf 466.1.JPG,32cb22521edc69a5503a6749446dd522
